Date,GW
12/18/2019,86.4284
12/19/2019,86.4357
12/20/2019,84.8341
12/21/2019,76.7232
12/22/2019,71.8935
12/23/2019,75.293
12/24/2019,66.1533
12/25/2019,61.3118
12/26/2019,74.0251
12/27/2019,78.1875
12/28/2019,73.4255
12/29/2019,67.7725
12/30/2019,67.1001
12/31/2019,63.006
01/01/2020,60.373
01/02/2020,72.8422
01/03/2020,75.9496
01/04/2020,70.9793
01/05/2020,68.7906
01/06/2020,81.4552
01/07/2020,82.1927
01/08/2020,82.79
01/09/2020,81.4808
01/10/2020,80.7172
01/11/2020,75.8695
01/12/2020,71.5384
01/13/2020,77.7884
01/14/2020,82.8055
01/15/2020,83.25015
01/16/2020,84.8625
01/17/2020,85.36915
01/18/2020,79.9218
01/19/2020,71.8841
01/20/2020,80.6486
01/21/2020,79.7288
01/22/2020,81.3718
01/23/2020,81.9061
01/24/2020,80.0388
01/25/2020,72.0972
01/26/2020,70.2827
01/27/2020,83.3111
01/28/2020,84.1685
01/29/2020,82.1863
01/30/2020,78.5944
01/31/2020,74.7994
02/01/2020,68.3873
02/02/2020,61.7425
02/03/2020,68.6954
02/04/2020,71.4231
02/05/2020,74.3809
02/06/2020,76.9597
02/07/2020,78.0803
02/08/2020,73.1781
02/09/2020,65.4042
02/10/2020,72.4078
02/11/2020,74.0995
02/12/2020,75.5644
02/13/2020,74.8907
02/14/2020,77.4335
02/15/2020,73.6855
02/16/2020,67.7763
02/17/2020,77.9528
02/18/2020,79.3707
02/19/2020,76.7551
02/20/2020,75.9042
02/21/2020,76.2125
02/22/2020,72.2546
02/23/2020,67.5759
02/24/2020,79.0289
02/25/2020,73.9862
02/26/2020,80.4788
02/27/2020,81.0504
02/28/2020,80.7202
02/29/2020,76.4539
03/01/2020,71.287
03/02/2020,81.4538
03/03/2020,83.6372
03/04/2020,86.4909
03/05/2020,86.9773
03/06/2020,87.6026
03/07/2020,84.294
03/08/2020,81.2105
03/09/2020,95.8133
03/10/2020,97.9206
03/11/2020,93.5087
03/12/2020,90.8719
03/13/2020,89.7521
03/14/2020,82.9582
03/15/2020,74.1544
03/16/2020,77.5201
03/17/2020,65.2196
03/18/2020,63.1511
